date,base_price,sentiment_factor,final_price
2025-11-15,59235.75900675876,0.999919193483168,59230.97237140153
2025-11-16,61066.30871315551,0.9998383869663362,61056.43960174973
2025-11-17,60235.29798163386,0.9997575804495042,60220.69576777318
2025-11-18,59404.28725011222,0.9996767739326723,59385.08623596196
2025-11-19,58573.276518590574,0.9995959674158404,58549.611006316074
2025-11-20,57742.265787068936,0.9995151608990085,57714.27007883552
2025-11-21,56911.25505554729,0.9994343543821765,56879.063453520284
2025-11-22,56080.24432402565,0.9993535478653446,56043.991130370385
2025-11-23,55249.233592504,0.9992727413485127,55209.053109385815
2025-11-24,53431.90808785299,0.9991919348316808,53388.731624050364
2025-11-25,51614.582583201984,0.9991111283148488,51568.70384220288
2025-11-26,49797.257078550974,0.999030321798017,49748.96976384336
2025-11-27,47979.93157389996,0.998949515281185,47929.52938897179
2025-11-28,46162.60606924895,0.9988687087643531,46110.38271758819
2025-11-29,44345.28056459794,0.9987879022475212,44291.52974969255
2025-11-30,42527.95505994693,0.9987070957306893,42472.970485284866
2025-12-01,49293.872057423425,0.9986262892138573,49226.156533687405
2025-12-02,56059.78905489991,0.9985454826970255,55978.24912171846
2025-12-03,62825.70605237641,0.9984646761801935,62729.24824937803
2025-12-04,69591.6230498529,0.9983838696633616,69479.15391666612
2025-12-05,76357.54004732938,0.9983030631465296,76227.96612358274
2025-12-06,83123.4570448059,0.9982222566296978,82975.6848701279
2025-12-07,89889.37404228238,0.9981414501128658,89722.31015630152
2025-12-08,94950.01615732537,0.9980606435960339,94765.87423543398
2025-12-09,100010.65827236835,0.997979837079202,99808.62044884192
2025-12-10,105071.30038741135,0.9978990305623701,104850.54879652536
2025-12-11,110131.94250245433,0.9978182240455381,109891.6592784843
2025-12-12,115192.58461749733,0.9977374175287063,114931.95189471876
2025-12-13,120253.22673254032,0.9976566110118743,119971.42664522871
2025-12-14,125313.8688475833,0.9975758044950424,125010.08353001413
2025-12-15,78451.4253343115,0.9974949979782104,78254.90435523677
